,tweet_id,event,text,category
0,553477352542707712,charliehebdo,Breaking Police suspect gunmen have taken one hostage after shots were fired involving Charlie Hebdo suspects ,rumour
1,553589285342175232,charliehebdo,BREAKING NEWS Killed Charlie Hebdo suspects came out firing on security forces AFP,rumour
2,552810804186460161,charliehebdo,#CharlieHebdo famous cartoonists Charb and Cabu shot dead according to reports ,rumour
3,553535971959275520,charliehebdo,#BREAKING 1 injured in #Paris Kosher supermarket shooting hostage drama underway gt gt gt ,rumour
4,553579224402235393,charliehebdo,Hostage taker at Paris store demands release of #KouachiBrothers police union spokesman says ,rumour
5,552830864187727876,charliehebdo,Three gunmen who shot dead 12 people at the HQ of #CharlieHebdo are still on the run in Paris police say ,rumour
6,553103334626701312,charliehebdo,Policeman seriously injured in new #Paris shooting as seven arrests made live updates ,rumour
7,553152215050125313,charliehebdo,UPDATE Cop fatally shot as France hunts #CharlieHebdo massacre suspects ,rumour
8,552796091255894016,charliehebdo,Video showing #CharlieHebdo attack Allahu akbar shouts ,rumour
9,553536269972942849,charliehebdo,Update AFP reports at least five people have been taken hostage and one person wounded after shooting at kosher grocery in eastern #Paris,rumour
10,553461741917863936,charliehebdo,Rural region of northern France searched in hunt for #CharlieHebdo gunmen latest updates ,rumour
11,553124268196642816,charliehebdo,Ahmed Merabet a French Police officer the first victim of #CharlieHebdo attack He was a Musilm #RIP ,rumour
12,553493222052605952,charliehebdo,DEVELOPING #CharlieHebdo shooting suspects holed up in premises of construction company ,rumour
13,552800045096259584,charliehebdo,Chilling video allegedly of #CharlieHebdo attackers filmed from rooftop A cry of 'Allahou Akbar' followed by shots ,rumour
14,552805619301097472,charliehebdo,now 13 dead at Charlie #Hebdo gunmen show signs of military training fled in black car dumped it hijacked another set off for suburbs,rumour
15,553557308937363458,charliehebdo,And now the Trocadero I have a very bad feeling about today,rumour
16,552806757672964097,charliehebdo,UPDATE 12 now confirmed dead in #CharlieHebdo attack in Paris is reporting Story AP ,rumour
17,552793551231541249,charliehebdo,Charlie Hebdo gunmen reportedly heard shouting 'Prophet has been avenged' ,rumour
18,553468492700454912,charliehebdo,BREAKING NEWS Exchange of fire reported in #DammartinEnGoele #CharlieHebdo ,rumour
19,553474514496278528,charliehebdo,French Interior Minister says operation under way to detain 2 #CharlieHebdo suspects ,rumour
